word,pinyin,radical,words_std
霜,shuāng,雨,霜冻
吹,chuī,口,吹风
落,luò,艹,落下
降,jiàng,阝,下降
飘,piāo,风,飘落
游,yóu,氵,游鱼
池,chí,氵,池草
入,rù,入,出入
春,chūn,日,春风
风,fēng,风,风雨
冬,dōng,夂,冬雪
雪,xuě,雨,雪花
花,huā,艹,红花
飞,fēi,飞,飞鸟
姓,xìng,女,姓名
氏,shì,氏,姓氏
李,lǐ,木,李子
张,zhāng,弓,张开
古,gǔ,口,古今
吴,wú,口,吴国
赵,zhào,走,赵钱孙李
钱,qián,钅,钱包
孙,sūn,子,孙子
周,zhōu,冂,四周
王,wáng,王,国王
官,guān,宀,当官
什,shén,亻,什么
么,me,丿,什么
双,shuāng,又,双手
国,guó,囗,中国
方,fāng,方,东方
清,qīng,氵,清水
晴,qíng,日,晴天
眼,yǎn,目,眼睛
睛,jīng,目,眼睛
保,bǎo,亻,保护
护,hù,扌,保护
害,hài,宀,害虫
事,shì,一,事情
情,qíng,忄,心情
请,qǐng,讠,请客
让,ràng,讠,礼让
病,bìng,疒,生病
生,shēng,生,学生
气,qì,气,天气
相,xiāng,木,相遇
遇,yù,辶,相遇
喜,xǐ,士,喜欢
欢,huān,欠,喜欢
怕,pà,忄,害怕
言,yán,言,语言
互,hù,二,互相
令,lìng,人,命令
动,dòng,力,感动
万,wàn,一,一万
纯,chún,纟,纯净
净,jìng,冫,洁净
阴,yīn,阝,阴天
