word,pinyin,radical,words_std
杂,zá,木,杂兴
稀,xī,禾,稀疏
篱,lí,竹,篱笆
蜻,qīng,虫,蜻蜓
蜓,tíng,虫,蜻蜓
蝶,dié,虫,蝴蝶
宿,sù,宀,住宿
徐,xú,彳,徐徐
疏,shū,止,疏远
茅,máo,艹,茅屋
檐,yán,木,屋檐
翁,wēng,羽,老翁
媪,ǎo,女,翁媪
锄,chú,钅,锄头
赖,lài,贝,赖皮
剥,bāo,刂,剥莲蓬
构,gòu,木,构造
饰,shì,饣,装饰
蹲,dūn,⻊,蹲着
凤,fèng,几,凤仙
序,xù,广,顺序
例,lì,亻,照例
率,shuài,亠,效率
耸,sǒng,耳,高耸
踏,tà,⻊,踏步
倘,tǎng,亻,倘若
绘,huì,纟,描绘
谐,xié,讠,和谐
寄,jì,宀,寄托
眠,mián,目,睡眠
慰,wèi,心,慰藉
藉,jiè,艹,慰藉
卜,bǔ,卜,萝卜
锐,ruì,钅,锐利
滩,tān,氵,河滩
帐,zhàng,巾,蚊帐
烁,shuò,火,闪烁
蝙,biān,虫,蝙蝠
蝠,fú,虫,蝙蝠
霸,bà,雨,霸道
骤,zhòu,马,骤雨
绮,qǐ,纟,绮丽
谈,tán,讠,谈话
